10012,10-08-2023,16:00:05,23:30:00
10012,12-08-2023,17:00:05,00:00:00
10012,13-08-2023,16:20:05,23:45:00
10012,15-08-2023,16:00:25,24:00:00
10012,17-08-2023,16:05:05,24:00:00
10012,18-08-2023,16:10:35,23:30:00
10012,19-08-2023,16:07:05,23:30:00
10012,20-08-2023,16:20:25,24:00:00
10012,24-08-2023,16:10:05,24:00:00
10012,25-08-2023,16:08:05,24:00:00
10012,27-08-2023,16:00:05,24:00:00
10012,28-08-2023,18:00:05,24:00:00
10012,29-08-2023,17:00:05,24:00:00
10012,30-08-2023,17:30:05,24:00:00
10012,31-08-2023,16:30:05,24:00:00
10023,10-08-2023,16:00:05,23:30:00
10023,12-08-2023,17:00:05,24:00:00
10023,13-08-2023,16:20:05,23:45:00
10023,15-08-2023,16:00:25,24:00:00
10023,17-08-2023,16:05:05,24:00:00
10023,18-08-2023,16:10:35,23:30:00
10023,19-08-2023,16:07:05,23:30:00
10023,20-08-2023,16:20:25,24:00:00
10023,24-08-2023,16:10:05,24:00:00
10023,25-08-2023,16:08:05,24:00:00
10023,27-08-2023,16:00:05,24:00:00
10023,28-08-2023,18:00:05,24:00:00
10023,29-08-2023,17:00:05,24:00:00
10023,30-08-2023,17:30:05,24:00:00
10023,31-08-2023,16:30:05,24:00:00
10032,18-08-2023,16:10:35,23:30:00
10032,19-08-2023,16:07:05,23:30:00
10032,20-08-2023,16:20:25,24:00:00
10032,24-08-2023,16:10:05,24:00:00
10032,25-08-2023,16:08:05,24:00:00
10032,27-08-2023,16:00:05,24:00:00
10032,28-08-2023,18:00:05,24:00:00
10032,29-08-2023,17:00:05,24:00:00
10032,30-08-2023,17:30:05,24:00:00
10032,31-08-2023,16:30:05,24:00:00
10043,18-08-2023,16:10:35,23:30:00
10043,19-08-2023,16:07:05,23:30:00
10043,20-08-2023,16:20:25,24:00:00
10043,24-08-2023,16:10:05,24:00:00
10043,25-08-2023,16:08:05,24:00:00
10043,27-08-2023,16:00:05,24:00:00
10043,28-08-2023,18:00:05,24:00:00
10043,29-08-2023,17:00:05,24:00:00
10043,30-08-2023,17:30:05,24:00:00
10043,31-08-2023,16:30:05,24:00:00
19885,18-08-2023,16:10:35,23:30:00
19885,19-08-2023,16:07:05,23:30:00
19885,20-08-2023,16:20:25,24:00:00
19885,24-08-2023,16:10:05,24:00:00
19885,25-08-2023,16:08:05,24:00:00
19885,27-08-2023,16:00:05,24:00:00
19885,28-08-2023,18:00:05,24:00:00
19885,29-08-2023,17:00:05,24:00:00
19885,30-08-2023,17:30:05,24:00:00
19885,31-08-2023,16:30:05,24:00:00
71071,18-08-2023,16:10:35,23:30:00
71071,19-08-2023,16:07:05,23:30:00
71071,20-08-2023,16:20:25,24:00:00
71071,24-08-2023,16:10:05,24:00:00
71071,25-08-2023,16:08:05,24:00:00
71071,27-08-2023,16:00:05,24:00:00
71071,28-08-2023,18:00:05,24:00:00
71071,29-08-2023,17:00:05,24:00:00
71071,30-08-2023,17:30:05,24:00:00
71071,31-08-2023,16:30:05,24:00:00
10023,05-09-2023,10:03:09,12:00:00
10023,05-09-2023,13:43:30,16:00:00
10012,05-09-2023,15:28:34,10012,05-09-2023,15:57:50,20:00:00
10012,05-09-2023,16:53:51,22:00:00
